题目序号,题目内容,题型,选项1,选项2,选项3,选项4,选项5,选项6,选项7,选项8
1,你目前的身份是？,单选题,在校学生,企业职员,自由职业 / 创业者,科研 / 事业单位,其他,,,
2,你平均每周接触外语内容（会议、视频、播客、直播、文档）的时长大约是？,单选题,几乎没有,1 小时以内,1-5 小时,5-15 小时,15 小时以上,,,
3,过去一个月，你在哪些场景下因为语言障碍错过或漏掉了信息？,多选题,线上会议（腾讯会议 / Zoom / Teams 等）,外语视频 / 网课 / 技术分享,直播,播客 / 音频,游戏语音,线下面对面交流,文档 / 邮件,没有遇到过
4,遇到外语会议时，你通常怎么处理？,多选题,靠同事或朋友现场翻译,会后看纪要或录音回放,用会议软件自带的字幕或同传,用第三方翻译软件,硬听，听不懂就算了,干脆不参加或不发言,,
5,上面这些方式里，最让你不满意的是什么？（最多选 3 项）,多选题,翻译不准确、专业术语翻错,延迟太高，跟不上对话,需要对方配合，或需要权限,只有特定平台能用，换个软件就没了,必须上传到云端，有保密顾虑,收费贵,不能自动生成纪要 / 待办,其他
6,你用过以下哪些工具？,多选题,腾讯会议实时字幕 / 同传,飞书妙记 / 钉钉闪记,讯飞听见 / 讯飞翻译,通义听悟,YouTube / Zoom 自动字幕,DeepL / 有道 / 百度翻译,声呐实时同传大师（2024 版）,都没用过
7,你是否遇到过“因为保密要求，不能把会议内容上传到第三方云平台”的情况？,单选题,经常遇到,偶尔遇到,没遇到过,不确定,不方便回答,,,
8,如果有一个工具，能把电脑上任何应用发出的声音实时翻译成中文，并自动生成纪要和待办——不挑软件、数据不上传云端。你的兴趣程度是？,单选题,非常需要，会立刻用,有兴趣，会试试,无所谓,用不上,,,,
9,请按对你个人的重要程度，对以下特点排序（1 为最重要）,排序题,翻译准确度,响应速度快、延迟低,覆盖所有应用，不限平台,数据不出本机，不上传云端,价格便宜或免费,自动生成纪要 / 待办事项,,
10,如果需要付费，你能接受哪种方式？,单选题,只接受免费,个人订阅，30 元/月以内,个人订阅，30-100 元/月,由公司或单位采购，个人不付费,一次性买断,,,
11,本题请直接选择“从未使用过任何翻译工具”（用于筛除无效问卷）,单选题,经常使用,偶尔使用,从未使用过任何翻译工具,每天都用,,,,
12,关于跨语言沟通，你还有什么想说的？,填空题,,,,,,,,
